Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,"=""0375856110""","=""9780375856112""",0,4.15,Alfred A. Knopf,Hardcover,849,2011,2011,,2023/09/04,,,read,,,,1,0
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0375826726""","=""9780375826726""",0,4.10,Alfred A. Knopf,Hardcover,748,2008,2008,,2023/09/04,,,read,,,,1,0
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",,"=""0375840400""","=""9780375840401""",0,4.04,Knopf Books for Young Readers,Paperback,704,2007,2005,,2023/09/04,,,read,,,,1,0
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,"Shannon, Samantha",,"=""1408883457""","=""9781408883457""",3,4.19,Bloomsbury Publishing,ebook,848,2019,2019,2023/09/27,2023/08/08,,,read,,,,1,0
836746,A Grain of Wheat,Ngũgĩ wa Thiong'o,"Thiong'o, Ngũgĩ wa",,"=""0435909878""","=""9780435909871""",0,3.88,Heinemann,Paperback,247,1994,1967,,2023/08/31,to-read,to-read (#105),to-read,,,,0,0
57485,Wizard of the Crow,Ngũgĩ wa Thiong'o,"Thiong'o, Ngũgĩ wa",,"=""037542248X""","=""9780375422485""",0,4.22,Pantheon,Hardcover,768,2006,2004,,2023/08/31,to-read,to-read (#104),to-read,,,,0,0
60766189,"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha    Shannon,"Shannon, Samantha",,"=""1635577926""","=""9781635577921""",0,4.37,Bloomsbury Publishing,Hardcover,868,2023,2023,,2023/08/28,to-read,to-read (#103),to-read,,,,0,0
18739810,The Women in the Dunes,Kōbō Abe,"Abe, Kōbō",,"=""""","=""""",0,3.89,Vintage Books,Paperback,239,1964,1962,,2023/08/27,to-read,to-read (#102),to-read,,,,0,0
5204,We Were the Mulvaneys,Joyce Carol Oates,"Oates, Joyce Carol",,"=""0452282829""","=""9780452282827""",0,3.75,Plume,Paperback,454,1997,1996,,2023/08/22,to-read,to-read (#101),to-read,,,,0,0
40873920,The Lost City of the Monkey God,Douglas Preston,"Preston, Douglas",,"=""""","=""""",0,3.93,Grand Central Publishing,Kindle Edition,326,2017,2017,,2023/08/21,to-read,to-read (#100),to-read,,,,0,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",0,3.93,Scribner,Paperback,180,1925,1925,,2023/08/20,to-read,to-read (#99),to-read,,,,0,0
61322622,The Secrets of Hartwood Hall,Katie Lumsden,"Lumsden, Katie",,"=""0593186923""","=""9780593186923""",0,3.67,Dutton,Hardcover,339,2023,2023,,2023/08/17,to-read,to-read (#98),to-read,,,,0,0
61812308,Small Mercies,Dennis Lehane,"Lehane, Dennis",,"=""0062129481""","=""9780062129482""",0,4.30,Harper,Hardcover,303,2023,2023,,2023/08/17,to-read,to-read (#97),to-read,,,,0,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.28,Knopf,Kindle Edition,368,2019,2019,,2023/08/15,to-read,to-read (#96),to-read,,,,0,0
179780,The Exorcist,William Peter Blatty,"Blatty, William Peter",,"=""""","=""""",0,4.20,HarperTorch,Mass Market Paperback,385,1994,1971,,2023/08/15,to-read,to-read (#95),to-read,,,,0,0
56269269,This Thing Between Us,Gus Moreno,"Moreno, Gus",,"=""0374539235""","=""9780374539238""",0,3.74,FSG Adult,Paperback,272,2021,2021,,2023/08/15,to-read,to-read (#94),to-read,,,,0,0
24728470,M Train,Patti Smith,"Smith, Patti",,"=""1101875100""","=""9781101875100""",0,4.02,Knopf,Hardcover,256,2015,2015,,2023/08/14,to-read,to-read (#93),to-read,,,,0,0
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",0,3.94,Anchor Books,Paperback,351,2003,2001,,2023/08/14,to-read,to-read (#92),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,277,2001,1951,,2023/08/14,to-read,to-read (#91),to-read,,,,0,0
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",0,3.94,Seal Books,Paperback,460,2006,2001,,2023/08/14,to-read,to-read (#90),to-read,,,,0,0
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",0,4.31,Orbit,Paperback,592,2011,2011,,2023/08/14,to-read,to-read (#89),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",0,4.31,Tor,Mass Market Paperback,324,2004,1985,,2023/08/14,,,read,,,,1,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï","=""""","=""""",0,4.09,Vintage,Paperback,964,2012,1878,,2023/08/13,to-read,to-read (#88),to-read,,,,0,0
656,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""""","=""""",0,4.16,Oxford University Press,Paperback,1392,1998,1869,,2023/08/13,to-read,to-read (#87),to-read,,,,0,0
59576064,All This Could Be Different,Sarah Thankam Mathews,"Mathews, Sarah Thankam",,"=""0593489128""","=""9780593489123""",0,3.85,Viking,Hardcover,320,2022,2022,,2023/08/12,to-read,to-read (#86),to-read,,,,0,0
41662515,Breaking Character,Lee  Winter,"Winter, Lee",,"=""3963241136""","=""9783963241130""",0,4.38,Ylva Publishing,Paperback,334,2018,2018,,2023/08/12,to-read,to-read (#85),to-read,,,,0,0
30069169,Requiem for Immortals,Lee  Winter,"Winter, Lee",,"=""3955337103""","=""9783955337100""",0,4.23,Ylva Publishing,Paperback,284,2016,2016,,2023/08/12,to-read,to-read (#84),to-read,,,,0,0
40531645,Waking the Dreamer,K. Aten,"Aten, K.",,"=""1619293838""","=""9781619293830""",0,4.13,Regal Crest Enterprises,Kindle Edition,191,2018,2018,,2023/08/12,to-read,to-read (#83),to-read,,,,0,0
23258876,Soul Unique,Gun Brooke,"Brooke, Gun",,"=""1626393583""","=""9781626393585""",0,4.31,Bold Strokes Books,Paperback,264,2015,2015,,2023/08/12,to-read,to-read (#82),to-read,,,,0,0
52258,"The Price of Salt, or Carol",Patricia Highsmith,"Highsmith, Patricia",Claire  Morgan,"=""0393325997""","=""9780393325997""",0,4.02,W.W. Norton & Company,Paperback,292,2004,1952,,2023/08/12,to-read,to-read (#81),to-read,,,,0,0
28695765,Coils,Barbara Ann Wright,"Wright, Barbara Ann",,"=""1626395985""","=""9781626395985""",0,3.90,Bold Strokes Books,Paperback,312,2016,2016,,2023/08/12,to-read,to-read (#80),to-read,,,,0,0
37510662,Foe,Iain Reid,"Reid, Iain",,"=""150112742X""","=""9781501127427""",3,3.71,Gallery/Scout Press,Hardcover,261,2018,2018,2023/08/27,2023/07/26,,,read,,,,1,0
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1447273281""","=""9781447273288""",0,4.30,PanMacmillan,Hardcover,608,2015,2015,,2023/08/12,to-read,to-read (#79),to-read,,,,0,0
